,cont_no,price,total,transaction_date,type,units_traded
0,30261235,7479000,3966114,2018-10-08 11:41:12,bid,0.5303
1,30261234,7478000,4613926,2018-10-08 11:41:12,ask,0.617
2,30261233,7478000,144946074,2018-10-08 11:41:07,ask,19.383
3,30261232,7478000,4613926,2018-10-08 11:41:07,ask,0.617
4,30261231,7478000,82100214,2018-10-08 11:40:46,ask,10.9789
5,30261230,7478000,67459786,2018-10-08 11:40:41,bid,9.0211
6,30261229,7478000,82100214,2018-10-08 11:40:39,bid,10.9789
7,30261228,7479000,999194,2018-10-08 11:40:31,bid,0.1336
8,30261227,7479000,4434299,2018-10-08 11:40:22,bid,0.5929
9,30261226,7479000,159303,2018-10-08 11:40:22,bid,0.0213
10,30261225,7477000,130848,2018-10-08 11:40:21,ask,0.0175
11,30261224,7479000,9426532,2018-10-08 11:40:11,bid,1.2604
12,30261223,7479000,896732,2018-10-08 11:40:11,bid,0.1199
13,30261222,7479000,9585834,2018-10-08 11:39:49,bid,1.2817
14,30261221,7479000,1753826,2018-10-08 11:39:40,ask,0.2345
15,30261220,7479000,436026,2018-10-08 11:39:36,bid,0.0583
16,30261219,7479000,147390149,2018-10-08 11:39:35,bid,19.7072
17,30261218,7479000,2731331,2018-10-08 11:39:26,ask,0.3652
18,30261217,7478000,7253660,2018-10-08 11:39:19,bid,0.97
19,30261216,7477000,14954000,2018-10-08 11:39:15,bid,2.0
20,30261215,7477000,100415362,2018-10-08 11:39:15,bid,13.4299
21,30261214,7476000,34707664,2018-10-08 11:39:15,bid,4.64254462
22,30261213,7476000,7156441,2018-10-08 11:39:15,ask,0.95725538
23,30261212,7477000,101463638,2018-10-08 11:39:10,ask,13.5701
24,30261211,7477000,13955821,2018-10-08 11:39:09,bid,1.8665
25,30261210,7477000,23926,2018-10-08 11:39:09,bid,0.0032
26,30261209,7476000,2576,2018-10-08 11:39:01,ask,0.00034462
27,30261208,7476000,95693,2018-10-08 11:38:58,ask,0.0128
28,30261207,7477000,14930074,2018-10-08 11:38:58,bid,1.9968
29,30261206,7478000,6547737,2018-10-08 11:38:48,bid,0.8756
30,30261205,7478000,5687019,2018-10-08 11:38:48,bid,0.7605
31,30261204,7478000,12234756,2018-10-08 11:38:37,bid,1.6361
32,30261203,7478000,1566641,2018-10-08 11:38:31,ask,0.2095
33,30261202,7478000,19488416,2018-10-08 11:38:22,ask,2.6061
34,30261201,7479000,55840458,2018-10-08 11:38:22,ask,7.4663
35,30261200,7480000,10452552,2018-10-08 11:38:22,ask,1.3974
36,30261199,7480000,189386868,2018-10-08 11:38:21,bid,25.3191
37,30261198,7479000,2120297,2018-10-08 11:38:21,bid,0.2835
38,30261197,7480000,12573132,2018-10-08 11:38:15,ask,1.6809
39,30261196,7481000,997965,2018-10-08 11:38:12,bid,0.1334
40,30261195,7480000,26105200,2018-10-08 11:38:11,bid,3.49
41,30261194,7480000,42896304,2018-10-08 11:38:11,bid,5.7348
42,30261193,7480000,159063696,2018-10-08 11:38:05,bid,21.2652
43,30261192,7480000,42896304,2018-10-08 11:38:05,bid,5.7348
44,30261191,7480000,2120580,2018-10-08 11:37:58,ask,0.2835
45,30261190,7480000,15415532,2018-10-08 11:37:55,bid,2.0609
46,30261189,7480000,10689668,2018-10-08 11:37:50,bid,1.4291
47,30261188,7480000,175696972,2018-10-08 11:37:42,bid,23.4889
48,30261187,7480000,25322044,2018-10-08 11:37:42,bid,3.3853
49,30261186,7480000,940984,2018-10-08 11:37:42,bid,0.1258
50,30261185,7480000,3992824,2018-10-08 11:37:28,bid,0.5338
51,30261184,7480000,25608528,2018-10-08 11:37:28,bid,3.4236
52,30261183,7480000,5992228,2018-10-08 11:37:09,bid,0.8011
53,30261182,7479000,1917616,2018-10-08 11:36:42,ask,0.2564
54,30261181,7479000,3004314,2018-10-08 11:36:41,ask,0.4017
55,30261180,7480000,8976,2018-10-08 11:36:24,bid,0.0012
56,30261179,7481000,101646591,2018-10-08 11:36:10,bid,13.5873
57,30261178,7480000,315656,2018-10-08 11:36:10,bid,0.0422
58,30261177,7480000,201802172,2018-10-08 11:36:09,ask,26.9789
59,30261176,7480000,157828,2018-10-08 11:36:04,bid,0.0211
60,30261175,7479000,157807,2018-10-08 11:35:55,ask,0.0211
61,30261174,7480000,201802172,2018-10-08 11:35:48,ask,26.9789
62,30261173,7480000,157828,2018-10-08 11:35:48,ask,0.0211
63,30261172,7481000,24687,2018-10-08 11:35:19,bid,0.0033
64,30261171,7481000,201987000,2018-10-08 11:35:14,ask,27.0
65,30261170,7482000,2228140,2018-10-08 11:35:11,bid,0.2978
66,30261169,7482000,5679586,2018-10-08 11:35:11,bid,0.7591
67,30261168,7482000,8132186,2018-10-08 11:35:03,bid,1.0869
68,30261167,7477000,7669159,2018-10-08 11:34:59,bid,1.0257
69,30261166,7477000,462826,2018-10-08 11:34:58,bid,0.0619
70,30261165,7477000,9978804,2018-10-08 11:34:57,ask,1.3346
71,30261164,7477000,24702513,2018-10-08 11:34:57,ask,3.3038
72,30261163,7481000,201987000,2018-10-08 11:34:45,bid,27.0
73,30261162,7477000,9978804,2018-10-08 11:34:43,ask,1.3346
74,30261161,7477000,385066,2018-10-08 11:34:29,ask,0.0515
75,30261160,7482000,1152228,2018-10-08 11:34:24,bid,0.154
76,30261159,7477000,9978804,2018-10-08 11:34:22,bid,1.3346
77,30261158,7477000,12595754,2018-10-08 11:34:19,ask,1.6846
78,30261157,7477000,19853678,2018-10-08 11:34:19,ask,2.6553
79,30261156,7478000,2617300,2018-10-08 11:34:19,ask,0.35
80,30261155,7478000,199288700,2018-10-08 11:34:17,bid,26.65
81,30261154,7478000,2617300,2018-10-08 11:34:14,bid,0.35
82,30261153,7477000,12595754,2018-10-08 11:34:09,bid,1.6846
83,30261152,7476000,149520,2018-10-08 11:34:05,ask,0.02
84,30261151,7477000,32449432,2018-10-08 11:34:04,ask,4.3399
85,30261150,7477000,44639185,2018-10-08 11:33:59,ask,5.9702
86,30261149,7477000,130100,2018-10-08 11:33:52,ask,0.0174
87,30261148,7477000,275901,2018-10-08 11:33:41,ask,0.0369
88,30261147,7476000,4217212,2018-10-08 11:33:26,ask,0.5641
89,30261146,7479000,6281612,2018-10-08 11:33:22,bid,0.8399
90,30261145,7479000,8652455,2018-10-08 11:33:22,bid,1.1569
91,30261144,7475000,130065,2018-10-08 11:33:19,ask,0.0174
92,30261143,7479000,7160395,2018-10-08 11:33:17,ask,0.9574
93,30261142,7479000,15354387,2018-10-08 11:33:17,ask,2.053
94,30261141,7479000,7916522,2018-10-08 11:33:17,ask,1.0585
95,30261140,7479000,4657921,2018-10-08 11:33:16,ask,0.6228
96,30261139,7479000,811472,2018-10-08 11:33:16,ask,0.1085
97,30261138,7480000,4658544,2018-10-08 11:33:03,ask,0.6228
98,30261137,7480000,49315640,2018-10-08 11:32:53,ask,6.593
99,30261136,7482000,600805,2018-10-08 11:32:49,bid,0.0803
